nametag,profile_link,verified,sent_message
mr_beast_bot,https://twitter.com/mr_beast_bot,False,False
MrBeast,https://twitter.com/MrBeast,False,False
0xSweep,https://twitter.com/0xSweep,False,False
crypoqback,https://twitter.com/crypoqback,False,False
MYSTIC7,https://twitter.com/MYSTIC7,False,False
tonanfig,https://twitter.com/tonanfig,False,False
LorettaKrypto,https://twitter.com/LorettaKrypto,False,False
Emmathe00,https://twitter.com/Emmathe00,False,False
Tokewitch,https://twitter.com/Tokewitch,False,False
FunkyNerd,https://twitter.com/FunkyNerd,False,False
basedspinach,https://twitter.com/basedspinach,False,False
BisectHosting,https://twitter.com/BisectHosting,False,False
mike27356894,https://twitter.com/mike27356894,False,False
nukksmedia,https://twitter.com/nukksmedia,False,False
RoastHimJim,https://twitter.com/RoastHimJim,False,False
greg16676935420,https://twitter.com/greg16676935420,False,False
heroicgg,https://twitter.com/heroicgg,False,False
MTGrepp,https://twitter.com/MTGrepp,False,False
Latino__America,https://twitter.com/Latino__America,False,False
Aspiemama_107,https://twitter.com/Aspiemama_107,False,False
aggala,https://twitter.com/aggala,False,False
worldranking_,https://twitter.com/worldranking_,False,False
elonmusk,https://twitter.com/elonmusk,False,False
C_thiccc_,https://twitter.com/C_thiccc_,False,False
codewurldyt,https://twitter.com/codewurldyt,False,False
BradleyMartyn,https://twitter.com/BradleyMartyn,False,False
katalinaxvega,https://twitter.com/katalinaxvega,False,False
SaitoOfficial,https://twitter.com/SaitoOfficial,False,False
CryptoFiend45,https://twitter.com/CryptoFiend45,False,False
IAMZEROHURTZ,https://twitter.com/IAMZEROHURTZ,False,False
AlecchiMan,https://twitter.com/AlecchiMan,False,False
Thordansmash,https://twitter.com/Thordansmash,False,False
CapitalCaleb,https://twitter.com/CapitalCaleb,False,False
hodgetwins,https://twitter.com/hodgetwins,False,False
JUNlPER,https://twitter.com/JUNlPER,False,False
tomwarren,https://twitter.com/tomwarren,False,False
Thegreatgreen12,https://twitter.com/Thegreatgreen12,False,False
jaylacuateco,https://twitter.com/jaylacuateco,False,False
lukeafk,https://twitter.com/lukeafk,False,False
bikerbabebonnie,https://twitter.com/bikerbabebonnie,False,False
vishakhhegde,https://twitter.com/vishakhhegde,False,False
